job_id,company,title,location,job_url,date_posted,source,collected_at,department,employment_type,remote_status,skills,function,seniority,remote_classification,salary_min,salary_max,salary_currency
workday:wpengine:JR102820,WP Engine,Customer Development Representative,London,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/London/Customer-Development-Representative_JR102820,2026-07-17,workday,2026-08-18T14:46:54Z,,,,Account Management; Salesforce; WordPress,Other,Unknown,On-site,,,
workday:wpengine:JR102840,WP Engine,Senior Sales Enablement Facilitator,Austin,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/Austin/Senior-Sales-Enablement-Facilitator_JR102840,2026-08-11,workday,2026-08-18T14:46:54Z,,,,WordPress,Sales,Senior,On-site,,,
workday:wpengine:JR102821,WP Engine,"Senior Principal, Product Marketing — AI & Emerging Products",2 Locations,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/London/Senior-Principal--Product-Marketing---AI---Emerging-Products_JR102821,2026-08-10,workday,2026-08-18T14:46:54Z,,,,Customer Success; Product Management; WordPress,AI / Machine Learning,Lead / Staff,On-site,,,
workday:wpengine:JR102832,WP Engine,Agency Account Manager,Austin,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/Austin/Reseller-Account-Manager_JR102832,2026-08-07,workday,2026-08-18T14:46:54Z,,,,Account Management; HubSpot; Salesforce; WordPress,Customer Success,Manager,On-site,,,
workday:wpengine:JR102828,WP Engine,Customer Development Rep,Austin,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/Austin/Customer-Development-Rep_JR102828,2026-08-07,workday,2026-08-18T14:46:54Z,,,,Account Management; Salesforce; WordPress,Other,Unknown,On-site,,,
workday:wpengine:JR102830,WP Engine,Business Development Rep,Austin,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/Austin/Business-Development-Rep_JR102830,2026-08-06,workday,2026-08-18T14:46:54Z,,,,Salesforce; WordPress,Sales,Unknown,On-site,,,
workday:wpengine:JR102800,WP Engine,Principal Global Compensation Manager,34 Locations,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/WFH---Texas/Principal-Compensation-Analyst_JR102800,2026-07-22,workday,2026-08-18T14:46:54Z,,,,WordPress,Other,Manager,On-site,,,
workday:wpengine:JR102823,WP Engine,"Senior Software Engineer, Platform",2 Locations,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/Krakow/Senior-Software-Engineer--Platform_JR102823,2026-07-17,workday,2026-08-18T14:46:54Z,,,,AWS; CI/CD; Docker; Go; Google Cloud; Kubernetes; Observability; PHP; Prometheus; Python; Ruby; SQL; Technical Support; Terraform; WordPress,Engineering,Senior,On-site,,,
workday:wpengine:JR102815,WP Engine,Software Engineer,2 Locations,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/Krakow/Software-Engineer_JR102815,2026-07-15,workday,2026-08-18T14:46:54Z,,,,AWS; CI/CD; Docker; Git; Go; Google Cloud; Kubernetes; MySQL; Observability; PHP; PostgreSQL; Prometheus; Python; Ruby; SQL; Terraform; WordPress,Engineering,Unknown,On-site,,,
workday:wpengine:JR102789,WP Engine,"Senior Director, GTM Analytics & Growth Strategy",Austin,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/Austin/Senior-Director--GTM-Analytics---Growth-Strategy_JR102789,2026-06-26,workday,2026-08-18T14:46:54Z,,,,B2B Sales; HubSpot; Looker; Python; SQL; Salesforce; Tableau; WordPress,Data / Analytics,Director,On-site,,,
workday:wpengine:JR101564,WP Engine,Sales Account Manager,Austin,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/Austin/SaaS-Sales-Account-Manager_JR101564,2026-06-26,workday,2026-08-18T14:46:54Z,,,,Account Management; Customer Success; Salesforce; WordPress,Sales,Manager,On-site,,,
greenhouse:automattic:6216089,Automattic,Happiness Engineer – Customer Support & Success,,https://automattic.com/work-with-us/job/happiness-engineer-customer-support-success/,,automattic,2026-08-18T14:46:54Z,"WooCommerce, WordPress.com",,,Customer Success; PHP; Technical Support; WooCommerce; WordPress,Customer Support,Unknown,Unknown,,,
greenhouse:automattic:6381135,Automattic,"Account Executive, Public Sector",,https://automattic.com/work-with-us/job/account-executive-public-sector/,,automattic,2026-08-18T14:46:54Z,WordPress VIP,,,Salesforce; WooCommerce; WordPress; WordPress VIP,Sales,Unknown,Unknown,,,
greenhouse:automattic:5867610,Automattic,"Account Executive, WordPress VIP",,https://automattic.com/work-with-us/job/account-executive-wordpress-vip/,,automattic,2026-08-18T14:46:54Z,WordPress VIP,,,Salesforce; WooCommerce; WordPress; WordPress VIP,Sales,Unknown,Unknown,,,
greenhouse:automattic:7585684,Automattic,"Customer Success Engineer, VIP",,https://automattic.com/work-with-us/job/customer-success-engineer-vip/,,automattic,2026-08-18T14:46:54Z,WordPress VIP,,,Customer Success; DNS; Git; Incident Response; JavaScript; Observability; PHP; Salesforce; Technical Support; WP-CLI; WooCommerce; WordPress; WordPress VIP,Customer Success,Unknown,Unknown,,,
