company,Observability,Python,WordPress,Kubernetes,Go,LLMs,AWS,Terraform,Linux,CI/CD,Google Cloud,SQL
DigitalOcean,34.3,35.7,0.0,36.4,24.5,22.4,16.1,20.3,18.9,11.2,16.8,14.0
Newfold Digital,12.5,12.5,30.0,12.5,5.0,2.5,7.5,7.5,10.0,7.5,7.5,5.0
Pantheon,16.7,26.7,96.7,20.0,13.3,6.7,20.0,20.0,0.0,20.0,26.7,13.3
GoDaddy,46.2,38.5,0.0,26.9,15.4,38.5,42.3,15.4,11.5,34.6,0.0,15.4
Automattic,15.8,5.3,100.0,0.0,0.0,5.3,0.0,0.0,0.0,5.3,0.0,10.5
WP Engine,18.2,27.3,100.0,18.2,18.2,0.0,18.2,18.2,0.0,18.2,18.2,27.3
Kinsta,33.3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0
Rocket.net,66.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Pressable,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SiteGround,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Servebolt,50.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0
