company,status,jobs_found,source,detail
WP Engine,success,11,workday,
Automattic,success,19,automattic,
Pressable,success,2,greenhouse,
Pantheon,success,27,greenhouse,
Kinsta,success,1,lever,
SiteGround,success,1,lever,
Liquid Web,no_open_jobs,0,generic,
GoDaddy,success,35,greenhouse,
DigitalOcean,success,140,greenhouse,
Newfold Digital,success,40,workday,
Rocket.net,success,3,workable,
Servebolt,success,2,generic,
GridPane,no_open_jobs,0,generic,
Convesio,disabled,0,,
10Web,no_open_jobs,0,bamboohr,
WPX Hosting,no_open_jobs,0,generic,
