job_id,company,title,location,job_url,date_posted,source,collected_at,department,employment_type,remote_status,skills,function,seniority,remote_classification,salary_min,salary_max,salary_currency
workday:wpengine:JR102834,WP Engine,"Sales Account Executive, Key",Austin,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/Austin/Sales-Account-Executive--Key_JR102834,2026-08-27,workday,2026-09-01T03:52:09Z,,,,Salesforce; WordPress,Sales,Unknown,On-site,,,
workday:wpengine:JR102849,WP Engine,Internal Communications Intern,Austin,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/Austin/Internal-Communications-Intern_JR102849,2026-08-27,workday,2026-09-01T03:52:09Z,,,,WordPress,Marketing,Intern,On-site,,,
workday:wpengine:JR102830,WP Engine,Business Development Rep,Austin,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/Austin/Business-Development-Rep_JR102830,2026-08-26,workday,2026-09-01T03:52:09Z,,,,Salesforce; WordPress,Sales,Unknown,On-site,,,
workday:wpengine:JR102837,WP Engine,Sales Development Manager,Austin,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/Austin/Sales-Development-Manager_JR102837,2026-08-26,workday,2026-09-01T03:52:09Z,,,,B2B Sales; Salesforce; WordPress,Sales,Manager,On-site,,,
workday:wpengine:JR102841,WP Engine,Lead Field & Events Marketing Manager,2 Locations,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/Austin/Principal-Field---Events-Marketing-Manager_JR102841,2026-08-26,workday,2026-09-01T03:52:09Z,,,,HubSpot; Project Management; Salesforce; WordPress,Marketing,Manager,On-site,,,
workday:wpengine:JR102840,WP Engine,Senior Sales Enablement Facilitator,Austin,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/Austin/Senior-Sales-Enablement-Facilitator_JR102840,2026-08-11,workday,2026-09-01T03:52:09Z,,,,WordPress,Sales,Senior,On-site,,,
workday:wpengine:JR102821,WP Engine,"Senior Principal, Product Marketing — AI & Emerging Products",2 Locations,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/London/Senior-Principal--Product-Marketing---AI---Emerging-Products_JR102821,2026-08-10,workday,2026-09-01T03:52:09Z,,,,Customer Success; Product Management; WordPress,AI / Machine Learning,Lead / Staff,On-site,,,
workday:wpengine:JR102832,WP Engine,Agency Account Manager,Austin,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/Austin/Reseller-Account-Manager_JR102832,2026-08-07,workday,2026-09-01T03:52:09Z,,,,Account Management; HubSpot; Salesforce; WordPress,Customer Success,Manager,On-site,,,
workday:wpengine:JR102800,WP Engine,Principal Global Compensation Manager,34 Locations,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/WFH---Texas/Principal-Compensation-Analyst_JR102800,2026-07-22,workday,2026-09-01T03:52:09Z,,,,WordPress,Other,Manager,On-site,,,
workday:wpengine:JR102823,WP Engine,"Senior Software Engineer, Platform",2 Locations,https://wpengine.wd1.myworkdayjobs.com/WP_Engine/job/Krakow/Senior-Software-Engineer--Platform_JR102823,2026-07-17,workday,2026-09-01T03:52:09Z,,,,AWS; CI/CD; Datadog; Docker; Go; Google Cloud; Kubernetes; Observability; OpenTelemetry; PHP; Prometheus; Python; Ruby; SQL; Technical Support; Terraform; WordPress,Engineering,Senior,On-site,,,
