snapshot_date,sector,skill,category,jobs_requiring_skill,jobs_analysed,demand_rate
2026-09-01,Managed WordPress Hosting,Observability,Infrastructure,84,281,29.9
2026-09-01,Managed WordPress Hosting,Python,Programming,79,281,28.1
2026-09-01,Managed WordPress Hosting,WordPress,WordPress,70,281,24.9
2026-09-01,Managed WordPress Hosting,Kubernetes,Infrastructure,64,281,22.8
2026-09-01,Managed WordPress Hosting,Go,Programming,54,281,19.2
2026-09-01,Managed WordPress Hosting,AWS,Cloud,50,281,17.8
2026-09-01,Managed WordPress Hosting,CI/CD,Infrastructure,47,281,16.7
2026-09-01,Managed WordPress Hosting,Linux,Infrastructure,43,281,15.3
2026-09-01,Managed WordPress Hosting,LLMs,AI,42,281,14.9
2026-09-01,Managed WordPress Hosting,Terraform,Infrastructure,42,281,14.9
2026-09-01,Managed WordPress Hosting,Incident Response,Security,40,281,14.2
2026-09-01,Managed WordPress Hosting,Google Cloud,Cloud,39,281,13.9
2026-09-01,Managed WordPress Hosting,SQL,Data,38,281,13.5
2026-09-01,Managed WordPress Hosting,Product Management,Business,31,281,11.0
2026-09-01,Managed WordPress Hosting,Microsoft Azure,Cloud,29,281,10.3
2026-09-01,Managed WordPress Hosting,MySQL,Data,29,281,10.3
2026-09-01,Managed WordPress Hosting,Salesforce,Business,28,281,10.0
2026-09-01,Managed WordPress Hosting,Customer Success,Business,27,281,9.6
2026-09-01,Managed WordPress Hosting,Node.js,Programming,26,281,9.3
2026-09-01,Managed WordPress Hosting,Account Management,Business,24,281,8.5
2026-09-01,Managed WordPress Hosting,JavaScript,Programming,24,281,8.5
2026-09-01,Managed WordPress Hosting,Docker,Infrastructure,23,281,8.2
2026-09-01,Managed WordPress Hosting,Git,Infrastructure,21,281,7.5
2026-09-01,Managed WordPress Hosting,Technical Support,Business,21,281,7.5
2026-09-01,Managed WordPress Hosting,WooCommerce,WordPress,21,281,7.5
2026-09-01,Managed WordPress Hosting,Ansible,Infrastructure,20,281,7.1
2026-09-01,Managed WordPress Hosting,DNS,Infrastructure,20,281,7.1
2026-09-01,Managed WordPress Hosting,PostgreSQL,Data,17,281,6.0
2026-09-01,Managed WordPress Hosting,Bash,Programming,16,281,5.7
2026-09-01,Managed WordPress Hosting,PHP,Programming,16,281,5.7
2026-09-01,Managed WordPress Hosting,Partnerships,Business,16,281,5.7
2026-09-01,Managed WordPress Hosting,SOC 2,Security,16,281,5.7
2026-09-01,Managed WordPress Hosting,Apache Kafka,Data,15,281,5.3
2026-09-01,Managed WordPress Hosting,Java,Programming,14,281,5.0
2026-09-01,Managed WordPress Hosting,Helm,Infrastructure,13,281,4.6
2026-09-01,Managed WordPress Hosting,MongoDB,Data,13,281,4.6
2026-09-01,Managed WordPress Hosting,Next.js,Programming,13,281,4.6
2026-09-01,Managed WordPress Hosting,Redis,Data,13,281,4.6
2026-09-01,Managed WordPress Hosting,AI Agents,AI,12,281,4.3
2026-09-01,Managed WordPress Hosting,Apache,Infrastructure,12,281,4.3
2026-09-01,Managed WordPress Hosting,Grafana,Infrastructure,12,281,4.3
2026-09-01,Managed WordPress Hosting,Prometheus,Infrastructure,12,281,4.3
2026-09-01,Managed WordPress Hosting,Cloudflare,Cloud,11,281,3.9
2026-09-01,Managed WordPress Hosting,Generative AI,AI,11,281,3.9
2026-09-01,Managed WordPress Hosting,GitHub Actions,Infrastructure,11,281,3.9
2026-09-01,Managed WordPress Hosting,OpenTelemetry,Infrastructure,11,281,3.9
2026-09-01,Managed WordPress Hosting,Project Management,Business,11,281,3.9
2026-09-01,Managed WordPress Hosting,HubSpot,Business,10,281,3.6
