company,Observability,Python,WordPress,Kubernetes,Go,AWS,CI/CD,Linux,LLMs,Terraform,Incident Response,Google Cloud
DigitalOcean,31.4,32.1,0.0,32.9,27.1,15.0,13.6,19.3,20.7,17.9,17.9,15.7
Newfold Digital,15.0,10.0,22.5,10.0,5.0,7.5,10.0,12.5,7.5,7.5,0.0,7.5
GoDaddy,51.4,42.9,0.0,17.1,14.3,42.9,40.0,20.0,20.0,11.4,28.6,2.9
Pantheon,29.6,40.7,92.6,22.2,22.2,33.3,22.2,0.0,7.4,29.6,7.4,40.7
Automattic,15.8,5.3,100.0,0.0,0.0,0.0,5.3,0.0,5.3,0.0,5.3,0.0
WP Engine,18.2,18.2,100.0,18.2,18.2,18.2,18.2,0.0,0.0,18.2,0.0,18.2
Rocket.net,66.7,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.3,0.0
Pressable,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Servebolt,50.0,50.0,0.0,0.0,50.0,0.0,50.0,50.0,0.0,0.0,50.0,0.0
Kinsta,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SiteGround,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
